Category	View	Admin path (example)	UI states	Relevance	Review comments	UI notes
						
						
Dashboard						
	Dashboard	/	Wagtail upgrade, Most recent edits, Pages awaiting moderation			
Authentication						
	Login	/login/	Validation error			
	Logout	/logout				“You have been successfully logged out.” message on Login screen
	Password reset	/password_reset/	Validation error			
	Password reset done	/password_reset/done/				
Navigation						
	Search form	/				
	Account menu	/				
	Settings menu	/				
	ModelAdmin menu	/				
	Pages menu	/	Loading, Server error			
	Pages menu level 2	/	Loading, Server error			
	Mobile menu toggle	/				
	Edit bird	/edit-bird	Active			
	No JS	/				“Javascript is required to use Wagtail, but it is currently disabled.” banner at the top of all pages
	Page not found (404)	/404				
	Unauthorised access (403)	/				“Sorry, you do not have permission to access this area.” message at the top of the dasboard
Pages						
	View child pages	/pages/60/	Empty, Reorder child pages, Sort by <column>, Pagination, Root level			
	Search	/pages/search/?q=bread	No results, Page type filter, Sort by <column>, Pagination			
	Set privacy	/pages/60/	Validation error			
	View all revisions	/pages/60/revisions/	Sort by <column>, Pagination			
	Compare revisions	/pages/60/revisions/compare/32...34/	Empty			
	Preview revision	/pages/60/revisions/37/view/				This serves the same view as the “live” page, but with different content. This should at least change the page title to make it clear it's a revision
	Review revision	/pages/60/revisions/37/revert/	Success			Uses the standard page editing UI, but with a top banner and different footer
	Unpublish	/pages/60/unpublish/	Success			
	Delete	/pages/60/delete/	Success			
	Copy	/pages/60/copy/	Validation error, Success			
	Move	/pages/69/move/60/	Pagination, No move target, Confirm, Success			
	Edit lock	/pages/60/edit/	Locked, Unlocked			
	Add child page	/pages/60/add_subpage/				
	Create	/pages/add/base/homepage/60/	Validation error, Success			
	Edit	/pages/60/edit/				
	Edit promote tab	/pages/60/edit/#tab-promote				
	Edit settings tab	/pages/60/edit/#tab-settings				
	Preview	/pages/60/edit/preview/				This serves the same view as the “live” page, but with different content. This should at least change the page title to make it clear it's a revision
Rich text (wagtail-markdown)						
	Text formats		Bold, Italic, Heading levels, Bullet list, Numbered list			
	Blocks		Horizontal rule, images, tables			
	Links		Links			
	Other controls		Preview, Undo, Redo			
Rich text (Draftail)						
	Text formats		Bold, Italic, Heading levels, Bullet list, Numbered list			
	Blocks		Horizontal rule, Embed, Image, Blocks tooltip			
	Inlines		Links, Documents, Inlines tooltip			
	Other controls		Line break, Undo, Redo			
Rich text (Hallo)						
	Text formats		Bold, Italic, Heading levels, Bullet list, Numbered list			
	Blocks		Horizontal rule, images, tables			
	Inlines		Links			
	Other controls		Preview, Undo, Redo			
Choosers						
	Image chooser	/pages/60/edit/	Loading, Pagination, Collections filter, Search			
	Images chooser upload	/pages/60/edit/	Uploading, Validation error			
	Embed chooser	/pages/60/edit/	Loading, Validation error, Uploading			
	Document chooser	/pages/60/edit/	Loading, Pagination, Collections filter, Search			
	Link chooser	/pages/60/edit/	Loading, Pagination, Search, Explorer navigation, Preselected page			
	Link chooser – external link	/pages/60/edit/	Validation error			
	Email link chooser	/pages/60/edit/	Validation error			
	Page chooser	/pages/60/edit/	Loading, Pagination, Search, Explorer navigation, Preselected page			
StreamField						
	StreamField	/pages/60/edit/				Not detailed to an accurate level because of the work involved
	Add block	/pages/60/edit/				
